Word,Freq
gl,2
Í,2
daytime,2
fearful,2
lightning,2
moderated,2
terrific,2
straining,2
reefed,2
tempest,2
swamped,2
miracles,2
REFLECTIONS,2
STORM,2
procession,2
general,2
victory,2
orphans,2
parchment,2
thrown,2
bonnet,2
Cintra,2
picked,2
documents,2
slept,2
Escribano,2
Racion,2
Barcelona,2
unique,2
edition,2
transcript,2
TREACHERY,2
recover,2
security,2
power,2
proposed,2
displayed,2
split,2
Rasteio,2
payment,2
agents,2
submit,2
knights,2
Sacanben,2
residing,2
capitulation,2
cousin,2
Bejar,2
treating,2
Llandra,2
journal,2
JOURNAL,1
concessions,1
ennobled,1
henceforward,1
perpetual,1
continents,1
hereafter,1
succeed,1
equipped,1
princes,1
duty,1
punctually,1
mentions,1
Gallega,1
family,1
oy,1
Yahez,1
Nihos,1
BAR,1
SALTES,1
construct,1
delineate,1
bearings,1
prepare,1
picture,1
equator,1
longitude,1
accomplished,1
forget,1
performed,1
entail,1
agust,1
Odiel,1
twelfth,1
Wise,1
boundary,1
ceased,1
Suma,1
Geografia,1
Enciso,1
mention,1
thai,1
shows,1
ruins,1
relic,1
traces,1
divided,1
arable,1
pastures,1
Ilustrada,1
Lie,1
fuan,1
Mora,1
Sevilla,1
RUDDER,1
unshipped,1
contrivance,1
Gomes,1
Rascon,1
Ouintero,1
dreaded,1
displaying,1
backwardness,1
turbed,1
eased,1
reflected,1
energy,1
ingenuity,1
Lanzarote,1
Opinions,1
varied,1
abled,1
faulty,1
hanging,1
ugust,1
C,1
thoroughly,1
issue,1
honourable,1
Dona,1
Guillen,1
clared,1
remembers,1
beg,1
swore,1
collects,1
rig,1
Niiía,1
death,1
Fernan,1
lordship,1
Doha,1
Enrique,1
tants,1
imaginary,1
isle,1
illusions,1
existence,1
spite,1
ablest,1
employed,1
meat,1
finally,1
tk,1
refers,1
attempts,1
sincerity,1
critical,1
judgment,1
Feijoo,1
refutes,1
stories,1
superstitions,1
Medina,1
Grandezas,1
figured,1
ancient,1
habitants,1
representing,1
berg,1
interposed,1
groundless,1
notions,1
particularly,1
fifteenth,1
sixteenth,1
malignant,1
envy,1
strove,1
detract,1
rumour,1
Biscayan,1
navigator,1
modern,1
contemporary,1
author,1
